"ID","Up_regulated"
"hsa-miR-652-3p","HOXB5,C3orf36,DCAF12L1,C6orf105,GLA,AQP2,ABCA4,AKR1B1,LPL,LOC643486,LAPTM4A,PNMT,CYSLTR2,C11orf45,KCNA4,ROS1,LOC100240735,POU3F3,FLJ45983,SLCO2A1,TMX4,TBX2,SP6,AP3S1,PAX2,LPCAT2,RHOBTB2,HOXB3,SEMG1,GSTM3,C1orf9,CHST11,IL18R1,FUT6,SH2D1B,AQPEP,GPRC5B,GPX6,LIPG,PRDM16,PAQR5,FCRLB,SPINK2,VWA5B2,FAM164C,KCTD14,PON3,ZNF185,GRXCR1,SLC34A2,POR,P2RX2,SGPP2,PJA1,KCNQ1,BCMO1,SH3BP5,TSPAN3,SLC2A9,PALM3,HOXB4,ZNF275,RBBP7,SLC9A4,LOC100189589,ACSL6,HOXD3,AMELX,HOXD4,KLHL14,PLLP,AMOT,FAM107B,SNAP25,IRF5,PATE3,ACE,EMX2OS,SULT1A2,RIPPLY1,CDO1,CPB2,ACPL2,ERBB4,ANO1,CYP4F8,TFE3,SORT1,EMX2,RAB11FIP2,FLJ10357,CA4,FAM176A,MCF2,POU2F3,PTGES,KRT24,TMEM171,STAC2,TMEM101,KCNS1,CRTAC1,ST6GALNAC4,KCNJ16,FRMD3,HOXB2,AIF1L,PAQR7,GAS2L1,ANXA13,ZFHX4,SAG,HOXD8,KCNJ5,PATE1,TNMD,LHX1,MRO,HOXB6,GFRA2,HOXB7,MUC6,PORCN,ELP3,C20orf202,SYT9,SERPINA1,PATE4,SIM1,SLC31A2,NFYB,CCRL1,HOXB8,LOC339535,USP44,SLC24A4,NAGS,ITGA2B,NDRG4,LOC150568,WWC3,PRPS2,TMEM229B,ANXA9,UNC5B,SLC26A3,CA2,FUT3,KIRREL3,KTELC1,PIK3C2G,AJAP1,APOB48R,HOXB9,CACNA1F,CES7,TRPM5,LOC442421,SLC9A1,KCP,QPRT,GLIS3,GRAMD1B,CHEK1,SLCO4C1,HRASLS,RASAL1,TMEM132E,DPP6,TRPM3,PTGS2,WNT9B,RASL10B,LOC84856,KCNJ15,SLC16A12,RASL11B,NOX1,ABCG2,MFSD2A,C1orf186,CDK18,SERPINA5,LOC100192378,PATE2,ISYNA1,SLC41A2,IQCK,CLU,SLC28A3,LOC284551,PIWIL4,PIP,SEMG2,ABHD6,C6orf227,DISP2,PAQR8,PEX2,FDX1,GPR144,PAX8,SULT2A1,C14orf176,PGAP2,PLA2G4A,KCNJ1,TLR2"
"hsa-miR-29c-5p","NOP56,TLCD1,ITSN1,SFXN4,RSAD1,C12orf73,C17orf86,IRAK3,ZNF511,MXD3,TPRN,NOP16,UCN,CTU1,PRDM5,LCA5,FRMD6,B3GNTL1"
"hsa-miR-324-3p","KRT82"
"hsa-miR-200c-5p","CCDC89,DPYSL3,SPOCK3,C4orf31,GRK5,BEND6,FXYD6,TBX4,IL33,SPON1,ITSN1,MAP7D3,PTGIS,GPR133,GATA5,TMEM229A,KIAA0408,TBX5,DZIP1,LRRK2,TSLP,LARGE,ADCY5,PTGER2,KCNJ8,JAZF1,TBL1X,CHRDL1,FERMT2,ANGPTL1,STARD8,C1QL1,FOXF2,DSCAML1,FGF2,C7,ANKDD1A,BHMT2,MAP3K12,KIAA1614,ADRA1B,RNF112,CAMK4,SLIT3,AMPH,SLC8A1,RHOJ,C7orf51,ZEB2"
"hsa-let-7a-3p","DMGDH,ITSN1,CTTNBP2,KCNJ3,FERMT2,ANGPTL1,RNF112,DNM3"
"hsa-miR-99b-3p","SCARA3,ME1,ANO6,DAAM2,SYT10,KIF26B,GNAZ,PEG3,TFE3,RAB11FIP2,RNF180,EYA4,ALDH1L2,TRIM9,PDE7B,TNIK"
"hsa-let-7g-5p","NSUN5P1,RSAD1,C12orf73,KAT2A,MXD3,KLHL17"
"hsa-miR-423-5p","CCDC158,C4orf31,RAB9B,GRK5,TLCD1,IL33,ITSN1,MAP7D3,CSRNP3,DAAM2,PAK3,RBMS3,SOX5,PAPPA,ICA1L,RSAD1,PRKG1,CPEB1,ANGPT1,TRHDE,DZIP1,LRRK2,ADCY5,PTGER2,DDR2,TBL1X,GPX8,STARD8,LOC149837,IRAK3,RNF180,C7orf58,FGF2,MAP3K12,KIAA1614,NOP16,MAMDC2,PRDM5,RASGRF2,LCA5,SLC8A1,ZEB2,GPR161,ARHGAP20,MTMR8"
"hsa-miR-532-5p","RSPO3,TES"
"hsa-miR-10b-3p","HOXB5,C3orf36,DCAF12L1,C6orf105,AQP2,AKR1B1,LPL,LOC643486,LAPTM4A,PNMT,CYSLTR2,ROS1,LOC100240735,POU3F3,FLJ45983,SLCO2A1,SP6,PAX2,LPCAT2,RHOBTB2,SEMG1,GSTM3,FUT6,SH2D1B,AQPEP,GPX6,PRDM16,PAQR5,FCRLB,SPINK2,VWA5B2,PON3,ZNF185,GRXCR1,SLC34A2,POR,PJA1,KCNQ1,BCMO1,SLC2A9,PALM3,LOC100189589,ACSL6,HOXD3,HOXD4,KLHL14,AMOT,FAM107B,SNAP25,IRF5,PATE3,ACE,EMX2OS,SULT1A2,RIPPLY1,CDO1,CPB2,ACPL2,ERBB4,ANO1,CYP4F8,EMX2,FLJ10357,FAM176A,MCF2,POU2F3,PTGES,KRT24,TMEM171,STAC2,TMEM101,KCNS1,CRTAC1,ST6GALNAC4,KCNJ16,FRMD3,AIF1L,GAS2L1,ANXA13,METAP2,SAG,HOXD8,KCNJ5,PATE1,LHX1,MRO,HOXB6,HOXB7,MUC6,PORCN,C20orf202,SYT9,SERPINA1,PATE4,SIM1,SLC31A2,NFYB,HOXB8,SLC24A4,NDRG4,WWC3,PRPS2,ANXA9,UNC5B,SLC26A3,CA2,FUT3,KIRREL3,PIK3C2G,AJAP1,APOB48R,HOXB9,CES7,TRPM5,SLC9A1,KCP,QPRT,GLIS3,GRAMD1B,CHEK1,WNT9B,RASL10B,LOC84856,SLC16A12,RASL11B,ABCG2,MFSD2A,C1orf186,CDK18,SERPINA5,PRLR,LOC100192378,PATE2,SLC41A2,CLU,SLC28A3,PIP,SEMG2,ABHD6,PAQR8,FDX1,PAX8,SULT2A1,PGAP2,PLA2G4A,KCNJ1,TLR2"
