"ID","Up_regulated"
"hsa-miR-103a-3p","C6orf105,ANGPTL6,BHLHA15,IGJ"
"hsa-miR-181b-5p","PEBP4"
"hsa-miR-146b-5p","PCSK2,CENPF"
"hsa-miR-155-5p","ASB5,FILIP1,STON1,PLN,NEXN,NCAM1,GUCY1B3,EIF4E3,PRICKLE2,EPM2A,SLC5A7,RBPMS,NKAPL,PER3,EML1,CDKL2,TSPYL2,VCL,ITGB1BP2,DMD,MPL,FBXL22,PLEKHO1,NBEA,AP1S2,SYNM,AKAP6,CTNNA3,SAMD4A,SETBP1,PPP1R12B,BVES,PTPLA,SETD7,ATP2B4,TPM1,NCALD,CNKSR2,TNNI3K,SH3BGRL,CCDC69,ABI3BP,PRRT1,LDB3,MYOZ2,DSTN,ACSBG1,SLC2A4,SGEF,FERMT2,CACNB2,ANGPTL1,NECAB1,FOXF2,TSPAN2,CFL2,SGCB,PRUNE2,TMTC1,MAGI2,ADARB1,C7orf58,PGM5,LOC401093,PLP1,ABCA9,TMEM55A,HIF3A,MYH11,TMEM35,MAMDC2,PTBP2,CALD1,PPP1R12A,LOC144571,C9orf5,PDK4,SLC25A12,HOXA2,NEGR1,SLMAP,CHRM2,TPM2,CORO6,MYLK,ANKRD40,KATNAL1,C6orf168,LOC399959,FGL2,GJC1,TACR2,FAT3,CAP2,FBXO32"
"hsa-miR-92b-3p","C1orf135"
"hsa-miR-15b-3p","ASB5,SCN7A,NCAM1,RASGEF1C,SLC5A7,RGS5,TSPYL2,CTNNA3,TMOD2,SETD7,CADM3,TNNI3K,ABI3BP,ADARB1,ABCA9,MAMDC2,C9orf5,PDK4,RELN,CHRM2,RXRG,FAT3"
"hsa-let-7d-5p","C17orf39,ZFYVE21,ARHGEF4,AHNAK,DLG2,TUBB6,NIPAL4,RABGAP1,PITPNM3,TANC1,AHNAK2,FAM127C,KLHL21,EPN2,MID2,WDR47,CLDND1,ARHGAP10,RNF11,FAM172A,NRG2,KIAA1737,ZYG11B,MPP7,SLAIN2,C15orf17,FAM190B,BCL2L2,DAAM1,MXI1,GAB1,GNAL,CRYAB,SEPT10,C15orf59,PPP1CB,CLIP4,CLIP1,PDLIM4,FAM46B,ZNF846"
"hsa-miR-1","OLFM3,KCNA5,TMEM100"
"hsa-miR-27b-5p","HOXC10"
"hsa-miR-200a-5p","MAP6,CCDC136,RNF150,PDZRN3,PARK2,ASB5,NPR2,SCN7A,FILIP1,STON1,PLN,NEXN,POU6F1,DNAJB5,MAPK4,NCAM1,GUCY1B3,JAM2,RASGEF1C,EIF4E3,PRICKLE2,CDON,EPM2A,JAM3,SOX10,DMPK,EFHA2,SLC5A7,RBPMS,ANO6,PPAPDC3,DMGDH,NKAPL,CNN1,ABL1,PRNP,C6orf225,EML1,ACACB,DNAJC18,STMN4,TBC1D1,TSPYL2,CSRP1,VCL,ITGB1BP2,FXYD6,ANK2,MPZ,DMD,FAM124A,FBXL22,SPARCL1,PLEKHO1,EID1,PHOX2B,NBEA,IL17B,DAPK3,RHOB,AP1S2,SYNM,KCNQ4,CAND2,CDH19,CTNNA3,CPXM2,SAMD4A,BBS1,TTC7B,SETBP1,TMOD2,ITIH5,FAM129A,DACT3,GPRASP1,PDLIM3,RYR3,GPR135,ATP1B2,C6orf186,C1orf190,PPP1R12B,TGFBR3,ASB2,BVES,PTPLA,DIRC3,DCLK2,SH3BGR,SETD7,TSHZ3,ATP2B4,TPM1,C20orf132,FBXL7,NRP2,CLIC4,GPRASP2,MSRB3,LMOD1,CALCOCO1,ZNF25,ZBTB47,PSD,CPEB1,PGR,DZIP1,RBPMS2,CNKSR2,LONRF2,CMTM5,FLNA,PLCL1,TNNI3K,JPH2,CAB39L,INPP5A,SPEG,TMOD1,PNCK,SH3BGRL,REEP2,SCMH1,KLF9,PLIN4,REEP1,PABPC5,LIMS2,ANKS1B,MCAM,CCDC69,ABI3BP,DIXDC1,PARVA,BMPR1A,PRRT1,WHAMML2,FXYD1,JMY,ITGA7,CENPF,RILPL1,LDB3,MYOZ2,DSTN,PPP1R12C,FAM54B,ACSBG1,MAPK10,SLC2A4,CAMK2G,ALK,SGEF,FERMT2,KCNMB1,CACNB2,ANGPTL1,ATP1A2,TGFB1I1,IPW,SLC22A17,PYGM,RAP1A,GRIK5,NECAB1,CRTAP,AGTR1,KCNB1,FOXF1,FLNC,TSPAN2,SRF,C5orf4,CFL2,MEIS1,PNMA1,SGCB,PDZD4,GALR1,PRUNE2,PBX1,TRPC1,MAGI2,ROR2,MYL9,GPM6B,RNF180,ARMCX1,MYOT,ADARB1,C7orf58,LRCH1,FGF2,C1orf70,FOXP2,ZFPM2,SMTN,C20orf200,CLIP3,ZAK,PGM5,FHL1,LOC401093,HIPK4,ZEB1,PLP1,PRDM8,GEFT,ABCA9,KIRREL3,BHMT2,ANKS1A,TMEM55A,ADAM33,SOBP,MYH11,TMEM35,KY,TEAD3,MAMDC2,ST3GAL3,AOC3,PTBP2,NAP1L5,CALD1,PPP1R12A,KCNMA1,ITPKB,SGCE,LOC144571,C9orf5,CBX7,DPP6,PDK4,CACNA1H,C3orf18,C22orf39,SNAP91,SCHIP1,PDZRN4,MRGPRF,PIP5K1C,KANK2,SLC25A12,DLC1,CAMK2A,DES,RELN,LRCH2,HOXA2,FYCO1,MOAP1,NEGR1,TUBG2,NACAD,PKD2,SLMAP,RBM9,TOR1AIP1,CHRM2,GNAO1,TPM2,ZCWPW2,HOXA4,CORO6,PKIG,MYOM1,C15orf52,MYLK,MAP4,GLRB,EPHA7,RXRG,LOC283856,ANKRD40,KATNAL1,TNFAIP8L1,TCEAL7,SGCA,C6orf168,CC2D2A,LOC399959,SORBS2,GJC1,DPT,ABCC9,TACR2,ZFYVE20,HDAC4,NCS1,SORBS1,ADHFE1,FAT3,ULK2,ZBTB4,MPDZ,DIP2C,CAP2,PRIMA1,CORO1C,PDLIM7,NRXN3,IGSF9B,PLCD4,MXRA7,C20orf194,FBXO32,RECK"
