"ID","Up_regulated"
"hsa-miR-22-5p","N4BP2L1,SAP30L,LRRN4CL,ANTXR2,CDCA8,FAM180A,NEDD4,ENO1,P2RY1,GPRASP1,LRRK2,TXLNB,C21orf34,NXPH3,C4orf12,KPNA2,NR3C2,CNRIP1,PCDHGB7,RASSF8,MATN2,ADAMTSL3,DEPDC1,C5orf4,KLHL33,NAP1L2,FEN1,EXO1,LEPR,CASP12,CBX7,CYBRD1,EZH1,PCDHGA9,UCHL3,CD302,ZNF483"
"hsa-miR-151a-5p","C15orf42,CCNA2,CDCA8,MAD2L1,CDC25A,KPNB1,EXO1,NCAPH,KIF11,PRC1"
"hsa-miR-183-5p","PALM2-AKAP2,CXorf36,SAP30L,C15orf42,ARHGEF6,AURKA,CCNA2,UMPS,STON1,LRRN4CL,PLN,NEXN,ANTXR2,GIMAP1,ABCA8,KCTD7,NCAM1,KDR,BRI3BP,DPYSL3,CNPY2,GLT8D2,PGCP,MMRN1,FAM54A,TPSG1,KIF15,PCDHGA5,AKAP13,ANLN,TCEAL1,ANO6,CSDC2,PRNP,MBNL2,TIMP2,PJA2,TBC1D1,ECM2,TIMP3,LRRC2,MFAP4,C10orf35,MEF2C,CDCA8,FAM180A,FXYD6,DMD,GIMAP6,PRAME,KLHL38,GPM6A,FAM65B,NEDD4,SPARCL1,VGLL3,MICAL2,CD93,RAB8B,MCM10,ZNF259,RSRC1,ARHGAP6,C1QTNF7,LOH3CR2A,DPYD,KCTD12,TCF23,MMRN2,ENO1,SH3BP5,ELK3,TGFBR2,TACC1,P2RY1,THSD1,RGMA,GPRASP1,PDE10A,MYCT1,THRA,ATRNL1,ARL6IP1,SEPT7,PPP1R12B,TGFBR3,SPTBN1,RSPO3,SETD7,DNASE1L3,ITM2A,PCDHGA2,PRELP,NEURL1B,CLIC4,ITPR1,LMOD1,ADPRH,CCDC80,AKAP2,C1orf133,ST5,LRRK2,UBL3,PEAR1,TXLNB,C21orf34,RSPO1,MID2,CAB39L,EME1,PTGER2,HLF,CALCRL,SH3BGRL,NXPH3,PDE8B,TPX2,CTGF,CLIC2,KCNJ8,ABCB1,SPAG5,DNAJB4,C4orf12,ADAMTS5,PABPC5,DTL,FOXN3,KLHL4,CCDC69,ABI3BP,DIXDC1,KPNA2,PMP22,NR3C2,TBL1X,TCEAL4,CNRIP1,PCDHGB7,FEZ1,TTK,EPR1,DSTN,RASSF8,MATN2,C16orf75,CAV2,KANK3,ADAMTSL3,FERMT2,ANGPTL1,STOM,SYTL4,CCNF,NCL,NPTN,MAD2L1,CCNB1,CDC25A,KIAA1462,NECAB1,C16orf59,RNASE4,TIE1,ZBTB16,DEPDC1,PODN,SYNPO2,FBLN5,TSPAN2,EPT1,C5orf4,PGM5P2,CALHM2,HTR2B,C16orf45,OLFML2A,PBX1,TRPC1,DSCAML1,LDB2,ANKRD29,KLHL33,C7orf58,LRCH1,FGF2,NAP1L2,GIMAP2,KPNB1,CLEC14A,TXNIP,AKT3,ZAK,SBDS,FEN1,PGM5,EXO1,LEPR,A2M,ZEB1,GNG11,SH3D19,GPR116,PRDM8,DOCK4,PCDH12,RERG,BNC2,TMEM204,TMEM55A,CASP12,ADAMTSL1,GAB1,MDFIC,GMPS,CYP2U1,MASP1,MAMDC2,KIF14,USP31,SELP,GIMAP4,CHEK1,KCNMA1,SLC24A3,PCDHGA3,EHBP1L1,GIMAP5,SGCE,CBX7,CEP68,CACNA1H,SNCA,HEG1,GRRP1,XPO5,CACNA1C,TMEM200A,ENPEP,KANK2,EMCN,CYBRD1,FRMD7,C1orf112,PDE2A,EZH1,ABCG2,TMEM200B,FEZ2,TEK,PCDHGA9,MAOB,PCDHGA6,RNF144A,FRMD6,SNTG2,SVIL,PDE7B,TCEAL6,UCHL3,KIAA1644,STAT5B,GIMAP7,TNS1,SMOC2,POLQ,MYOCD,ANXA6,CD302,SDPR,MKI67,TCEAL7,SGCA,ESAM,S1PR1,PLVAP,ABCC9,RHOJ,ASAM,NCAPH,MYBL2,RASA4,MST4,ZNF483,SORBS1,FBXO27,MITF,KIF11,ENPP2,C1orf21,PRC1,GRID1,ARHGAP31,GNG12,FBXO32,ROBO4,RECK"
"hsa-miR-429","PALM2-AKAP2,CXorf36,N4BP2L1,SAP30L,ARHGEF6,AURKA,CCNA2,STON1,LRRN4CL,NEXN,CACNA2D1,ANTXR2,TSHB,KCTD7,NCAM1,KDR,PTGER3,BRI3BP,DPYSL3,ELTD1,CNPY2,GLT8D2,PGCP,RAB23,FAM54A,KIF15,PCDHGA5,RAB9B,AKAP13,ANLN,TCEAL1,ANO6,SLCO2A1,CSDC2,PRNP,MBNL2,TIMP2,MESTIT1,PJA2,SOCS2,TBC1D1,TIMP3,LRRC2,MFAP4,C10orf35,MEF2C,CDCA8,F8,FAM180A,ITGB1BP2,FXYD6,DMD,GIMAP6,KLHL38,GPM6A,FAM65B,FBXL22,NEDD4,SPARCL1,VGLL3,ENTPD1,MICAL2,CD93,CMYA5,SYNPO,TRPC4,ARHGAP6,C1QTNF7,LOH3CR2A,DPYD,CDH13,TCF23,MMRN2,SH3BP5,ELK3,SLC7A3,TGFBR2,TACC1,P2RY1,THSD1,CDC42EP3,RGMA,GIMAP8,GPRASP1,PDE10A,MYCT1,ATRNL1,ZNF672,SEPT7,PPP1R12B,TGFBR3,MAS1,SPTBN1,RSPO3,SETD7,ITM2A,PCDHGA2,PRELP,NEURL1B,CLIC4,PAPPA,ITPR1,LMOD1,ADPRH,CCDC80,AKAP2,C1orf133,ST5,PTCHD1,LRRK2,UBL3,PEAR1,TXLNB,SPHK2,FAM198B,C21orf34,RSPO1,MID2,PTGER2,HLF,CALCRL,SH3BGRL,NXPH3,PDE8B,TPX2,CTGF,CLIC2,KCNJ8,ABCB1,SPAG5,DNAJB4,C4orf12,ADAMTS5,PABPC5,DTL,FILIP1L,FOXN3,KLHL4,ABI3BP,DIXDC1,PMP22,NR3C2,TBL1X,TCEAL4,CNRIP1,PCDHGB7,FEZ1,TTK,DSTN,RASSF8,MATN2,C16orf75,CAV2,KANK3,ADAMTSL3,FERMT2,ANGPTL1,STOM,SYTL4,CCNF,NPTN,MAD2L1,AVPR1A,CCNB1,KIAA1462,LINGO2,NECAB1,C16orf59,TIE1,ZBTB16,ASPA,DEPDC1,SYNPO2,FBLN5,EPT1,C5orf4,PGM5P2,CALHM2,HTR2B,C16orf45,OLFML2A,PBX1,TRPC1,SYT9,LDB2,ANKRD29,KLHL33,ADARB1,C7orf58,LRCH1,FGF2,NAP1L2,GIMAP2,FOXP2,TXNIP,AKT3,ZAK,SBDS,FEN1,PDLIM5,PGM5,EXO1,LEPR,A2M,LOC401093,ZEB1,CLEC4M,GPR116,PRDM8,C10orf128,DOCK4,RERG,BNC2,TMEM204,TMEM55A,RPRM,CASP12,ADAMTSL1,GAB1,MDFIC,CYP2U1,MASP1,MAMDC2,RPS6KB2,RGS13,KIF14,USP31,GNAL,CALD1,SELP,GIMAP4,CHEK1,KCNMA1,SLC24A3,PCDHGA3,GIMAP5,SGCE,CBX7,CEP68,DPP6,SNCA,HEG1,WISP1,CACNA1C,TMEM200A,ENPEP,KANK2,EMCN,CYBRD1,FRMD7,PDE2A,ABCG2,TMEM200B,FEZ2,TEK,PKD2,SLMAP,TRIM9,PCDHGA9,MAOB,PCDHGA6,RNF144A,FRMD6,SNTG2,SVIL,LIPI,PDE7B,TCEAL6,UCHL3,KIAA1644,STAT5B,TNS1,SMOC2,MYOCD,CD302,SDPR,MKI67,TCEAL7,SGCA,ESAM,S1PR1,FAM13C,ABCC9,RHOJ,ASAM,NCAPH,WSCD2,MYBL2,RASA4,MST4,ZNF483,SORBS1,SYPL2,MITF,MBNL1,KIF11,ENPP2,LIFR,C1orf21,GRID1,ARHGAP31,ZNF366,GNG12,FBXO32,ROBO4,RECK"
"hsa-miR-126-3p","OR5K1"
"hsa-miR-133a","FAM75C1,SFRP4,FLRT1,GLI1,KCNIP4,LRRC4B,GNAO1"
"hsa-miR-874","MMP27"
"hsa-miR-15b-5p","SAP30L,ARHGEF6,AURKA,CCNA2,ANTXR2,ABCA8,KCTD7,BRI3BP,TMEM206,CNPY2,GLT8D2,SLC1A7,FAM54A,KIF15,ANLN,DNMT3B,PRNP,GRK5,THBD,TIMP2,PJA2,TIMP3,MFAP4,CDCA8,FXYD6,PRAME,FOXI2,SPARCL1,LOC572558,ARHGAP6,DPYD,TCF23,ENO1,SH3BP5,TACC1,P2RY1,GPRASP1,PDE10A,MYCT1,TGFBR3,FANCB,PCDHGA2,ADPRH,LRRK2,C3orf64,C21orf34,MID2,CAB39L,EME1,SH3BGRL,NXPH3,TPX2,KCNJ8,SPAG5,CIAPIN1,C4orf12,CYP2A7,FOXN3,ABI3BP,DIXDC1,KPNA2,PMP22,NR3C2,CNRIP1,PCDHGB7,TTK,C16orf75,KANK3,CCNF,MAD2L1,CCNB1,CDC25A,C16orf59,RNASE4,DEPDC1,EPT1,C5orf4,CALHM2,C16orf45,DSCAML1,GART,KLHL33,C7orf58,LRCH1,FGF2,NAP1L2,SLC22A3,FOXP2,AKT3,SBDS,FEN1,PGM5,EXO1,PRDM8,BNC2,ABCA9,TMEM55A,CYP2U1,MAMDC2,KIF14,CBX7,CACNA1H,XPO5,CYBRD1,SLC9A9,TPSB2,PCDHGA6,SVIL,UCHL3,CDKN2A,STAT5B,C20orf24,DCN,CD302,MKI67,PLVAP,RHOJ,NCAPH,MYBL2,DARC,ZNF483,KIF11,C1orf21,PRC1,FBXO32,RECK"
"hsa-miR-140-5p","MAST1"
"hsa-miR-590-5p","B3GNT4"
