"ID","Up_regulated"
"hsa-miR-30a-5p","UMOD,TSG1,ALPI,GALNT6,FGFR3,GADL1,AQP1,THY1,TAL2,GP2,CLDN10,GCM1,SCNN1G,IGFBP2,F11,SLC45A3,ARHGEF33,CYP2W1,FOXN1,LOC153328,EGF,WDR78,NTRK2,CACNG5,SOSTDC1,C2orf62,UNCX,C6orf146,FIGNL2,SLC12A1,TYRP1,C14orf64,GPRIN2,NELL1,WNT10A"
"hsa-let-7c","OR13C2"
"hsa-miR-221-5p","RAB14,COL4A3BP,ASTN2,DHCR7"
"hsa-miR-27a-5p","CYR61,FOSB,MIDN,C2orf77"
"hsa-miR-338-3p","TMEM207,LOC284578,RALYL,USH1G,GCM1,CABP1,MYOZ1,LRRC48,GRIK2,PTGDS,LOC723809,ANXA9,HCRTR2,TYRP1,VSIG8,CLDN16,TCEAL7,EPO,NELL1"
"hsa-miR-204-5p","CCL14-CCL15,CPA1,UGT1A7,HNF1A,VIL1,SLC6A18,GLYCTK,SLC23A1,BBOX1,ADIPOR2,TUBAL3,ALDH4A1,GYPA,BAIAP2L2,CCDC158,NXNL2,DDN,KHDRBS2,GSTA1,NPC1L1,SLC2A5,XPNPEP2,CLRN3,SLC47A2,USH1C,AK3L1,DMGDH,SLC7A9,C11orf90,GDPD3,DAB2,ALDOB,FGFR4,GATM,CIDEB,GGTLC1,ABCC6P2,GK,GGT1,TMEM150B,TFEC,RAET1E,FAM132A,CIRH1A,ENPP6,CTXN3,MT1F,SLC27A2,CLIC5,DEPDC7,TMEM27,FUT6,KHK,SPEF1,RNF186,CAPN3,XYLB,CDH9,TRIM6,TNNI1,TMEM82,CLDN20,TMEM106A,ARSF,FGF1,SFXN2,ART4,LOC144776,PKLR,SLC2A9,SPNS3,ACY3,SLC6A13,MOGAT2,NYX,DNAJC16,FABP1,CLDN2,CRHBP,RNF183,CXCL14,BHMT,ACSM2B,COLEC11,LIME1,CPN2,SUSD2,DNAJC12,SLC22A4,NLRP6,MYOM3,PDZK1P1,TNNT2,GGTLC2,C8orf80,CYP8B1,ACE2,SHMT1,CMAH,CALML4,CTSL3,RALYL,MTMR11,TPPP3,C8orf85,DPYS,PHYHIP,KLK6,HAO2,ABCC6P1,TRIM54,MYOM2,HHLA2,FRMD1,CRYBB3,SLC22A18AS,THPO,GLB1L,ENOX1,PDZK1IP1,SLC7A13,UGT3A1,MYLK3,KIRREL2,RBP5,LHX4,GPD1,CAPN12,MS4A8B,KLK7,AMN,ASS1,ABHD12B,TTPA,AOX1,MYOZ1,RAB7L1,SLC17A2,AGXT2,AGMAT,ABCC6,KCNH6,TACR3,PBLD,AQP7P1,SLC39A5,OR2T10,ANXA13,GLYATL1,C1orf125,SLC5A11,C19orf21,ASB15,ASB17,LOC389332,LRRC48,ASPDH,GRIK2,NRXN2,CYP2B6,CLEC18C,C1orf106,C3orf30,MT1H,PROC,C6orf122,LOC285768,ACSM5,LRP2,EHHADH,SLC17A4,FMO1,LYG1,C15orf50,CST11,SLC7A7,DLGAP2,ENPP7,PTGDS,CUBN,SGK494,RGL1,NAT8B,SARDH,HECW1,A1CF,DTX4,GIPC2,TRIM15,SLC28A1,UGT2A1,HPD,BST1,ALDH6A1,SOAT2,CRYAA,GBA3,SLC13A1,LRRC7,LOC148709,HMX2,SLC16A9,CYP17A1,LOC647309,ACSF2,FCAMR,FUT3,BHMT2,PDZD3,CYP4F3,TRIM10,PDZK1,UPP2,DDC,PCOLCE2,LOC340094,SLC22A7,GLTPD2,GPR44,SLC22A11,RHOBTB1,KMO,AQP7P3,TTBK1,SLC22A13,CDHR5,ANPEP,SLC13A2,HRSP12,KCNK10,C14orf73,CYP4A11,CALB1,CCL15,DNMT3L,TMEM132E,PIPOX,CDKN1C,DPP6,ALAD,TMEM200A,ENPEP,C19orf69,DHRS4,ALDH8A1,AMDHD1,KLK5,C9orf66,KRT85,GLYAT,MSRA,C22orf45,FTCD,CAMK2A,ACSM2A,VSIG8,FMO4,ETNK2,PC,ANKS4B,DGKB,ACMSD,AGT,ADH6,ZCCHC16,PPP1R16B,CHDH,SLC22A1,NPHS2,HNF4A,SLC5A10,LOC441177,NGEF,CFI,ZNF804B,ALPL,FAM26E,CDHR2,DAO,CCDC150,RXFP1,TM4SF5,ABAT,PTPRO,C6orf208,LOC283314,SOST,SLC22A12,TTC38,METTL7B,DHRS4L2,PNPLA1,TUBA4B,PEPD,PRODH2,WIT1,UCN3,C7orf10,HNF4G,ST6GALNAC3"
"hsa-miR-22-3p","EDIL3,MGC27382,JAM2,AQP2,C3orf57,FLJ32063,SCARA3,AFAP1L2,CADM1,GALNT6,CLDN15,KLRG2,PLCB1,BTG2,GPM6A,RGS7BP,FGFBP1,C6orf52,FOXQ1,DEGS2,LOC400927,CLDN19,LOC134466,SEC14L4,TAL2,BAI3,FLJ34503,KCTD16,SLCO1A2,SEMA4A,CNP,PHACTR1,C17orf105,KLHL14,CALR3,TSPAN8,CLDN10,C5orf38,LGR5,CA3,AIF1L,GPR113,IFNA7,CYP2W1,PPL,LOC729467,FOXN1,PZP,IRX1,BCAS1,AVPR2,TEKT2,GPM6B,TAS1R1,SUSD4,SOX30,CAPSL,WDR78,USP44,SLC44A5,FOS,LOC150568,LEPR,LEKR1,GDF3,WNT7B,SOSTDC1,PRKX,RPRM,CASP12,UNCX,FMO2,IRX2,DOCK11,GPR12,FAM81B,FOXA3,FER1L5,SLC12A1,FOXC1,NTS,NPY1R,C21orf82,MUC15,WNT9B,EYA4,CPE,LOC158376,MRPS6,NAALAD2,C1orf65,C1orf87,VWA3B,RAET1G,FOXJ1,IRX5,C7orf51,NAT2,SERP2,TACSTD2,C10orf79,IQCA1,CNTN5,NCRNA00092,TET1,IER2,RANBP3L,KCNK3"
"hsa-miR-744-5p","ADIPOR2,GNAQ,TBC1D14,RAD50,GLCCI1,ARHGAP6,SLC4A5,SYT17,TMEM38A,KIF13B,ASTN2,LOC283761,PLCL2,ZDHHC23,VPRBP,FYCO1"
"hsa-miR-508-3p","CCL14-CCL15,CPA1,UGT1A7,HNF1A,VIL1,SLC6A18,GLYCTK,UNC5CL,SLC23A1,BBOX1,ADIPOR2,TUBAL3,ALDH4A1,SLC47A1,GYPA,BAIAP2L2,CCDC158,G6PC,NXNL2,DDN,SLC36A2,KHDRBS2,GSTA1,NPC1L1,C10orf107,XPNPEP2,CLRN3,SLC47A2,USH1C,AK3L1,AKR1C3,DMGDH,CHST9,SLC7A9,C11orf90,GDPD3,DAB2,ALDOB,FGFR4,GATM,CIDEB,RGS9,ABCC6P2,GK,TMEM150B,TFEC,DLK1,IL22RA1,FAM132A,CIRH1A,ENPP6,CTXN3,MT1F,CLIC5,DEPDC7,TMEM27,FUT6,KHK,SPEF1,UGT1A8,RNF186,SLC10A2,CAPN3,XYLB,CDH9,TRIM6,LRRC55,TNNI1,TMEM82,MGC34034,TMEM106A,UGT1A9,ARSF,OR2G6,SFXN2,ART4,LOC144776,PKLR,GALNT11,TMEM174,SLC2A9,SPNS3,ACY3,GLIS1,SLC6A13,CLEC18A,MOGAT2,SLC13A3,NYX,DNAJC16,LGALS7B,RBP3,FABP1,CLDN2,CRHBP,RNF183,PCA3,CXCL14,LOC100133920,BHMT,WT1,ACSM2B,ST7OT2,COLEC11,LIME1,SLC22A8,CPN2,DNAJC22,DNAJC12,CHST13,SLC22A4,NLRP6,MYOM3,CYP4F2,PDZK1P1,RIPPLY1,CDO1,TNNT2,C8orf80,FABP2,UGT2A3,CYP8B1,ACE2,SHMT1,CMAH,CALML4,RALYL,MTMR11,TPPP3,C8orf85,DPYS,PHYHIP,KLK6,HAO2,ABCC6P1,MYOM2,HHLA2,UGT1A10,FRMD1,TREH,HMX3,TNNI3K,OR2T5,CRYBB3,CA4,SCNN1G,SLC22A18AS,ERRFI1,THPO,GLB1L,ENOX1,PDZK1IP1,CLEC18B,MYLK3,KIRREL2,RBP5,PROS1,ALPK2,GPD1,CAPN12,KLK7,AMN,ASS1,ABHD12B,NAPSA,AOX1,MUC13,MYOZ1,RAB7L1,SLC17A2,AGXT2,AGMAT,ABCC6,KANK4,KCNH6,TACR3,PBLD,AQP7P1,SLC39A5,OR2T10,SERPINA7,ANXA13,GLYATL1,SLC5A11,C19orf21,SLC23A3,SLC17A1,ASB17,LOC389332,FADS6,LRRC48,ABCC2,ASPDH,NRXN2,CYP2B6,TSPAN1,CLEC18C,C1orf106,AQP4,MT1H,PROC,LOC285768,ACSM5,LRP2,OR2T3,DIO1,EHHADH,SLC17A4,DPEP1,SLC5A9,SLC34A1,FMO1,LYG1,CST11,SLC7A7,DLGAP2,ENPP7,PTGDS,CUBN,NAT8,SGK494,RGL1,NAT8B,SARDH,HECW1,LOC145837,LOC723809,SLC12A3,A1CF,DTX4,GIPC2,TRIM15,MIOX,SLC28A1,SLC2A2,HPD,BST1,ALDH6A1,STRA6,SOAT2,CRYAA,GBA3,SLC13A1,ZDHHC23,LRRC7,LOC148709,HMX2,SLC16A9,ANXA9,CYP17A1,LOC647309,ACSF2,FCAMR,SLC22A6,SLC22A24,FUT3,BHMT2,PDZD3,CYP4F3,TRIM10,PDZK1,BPY2,UPP2,DDC,PCOLCE2,LOC340094,SLC22A7,GLTPD2,GPR44,SLC22A11,RHOBTB1,SLC44A4,KMO,AQP7P3,TTBK1,SLC22A13,CDHR5,ANPEP,SLC13A2,HRSP12,KCNK10,C14orf73,CYP4A11,CCL15,SAMD11,TMEM132E,PIPOX,SLC28A2,CDKN1C,DPP6,TRPV5,ALAD,CRB2,TMEM200A,ENPEP,C19orf69,DHRS4,SLC34A3,AMDHD1,KLK5,C9orf66,KRT85,GLYAT,MSRA,C22orf45,FTCD,EMCN,ACSM2A,VSIG8,FMO4,ETNK2,C10orf114,PC,ANKS4B,DGKB,SLC6A19,ACMSD,AGT,ADH6,ZCCHC16,C14orf64,PPP1R16B,CLDN16,CHDH,NPHS2,HNF4A,SLC5A10,NGEF,TMEM176A,KIAA1755,CFI,ZNF804B,ALPL,ASPG,FAM26E,CDHR2,TCEAL7,DAO,CCDC150,SLC5A2,RXFP1,TM4SF5,ABAT,CHRNA4,PTPRO,C6orf208,LOC283314,TRPC5,SOST,SLC22A12,TTC38,METTL7B,PNPLA1,TUBA4B,PEPD,PRODH2,WIT1,SLC5A12,C7orf10,HNF4G,GP5,ST6GALNAC3"
"hsa-miR-3605-3p","GNAQ,BBX,RAB14,RAD50,COL4A3BP,ATP10D,SKIV2L2,KIF13B,ASTN2,KIF21A,ITPR2,ZDHHC23,FGF7,TMEM167A,PFN2,FBXL17,FYCO1"
