"ID","Up_regulated"
"hsa-miR-423-3p","CCNB2,PLK1,RASL12,ARHGEF15,EMCN,NCAPH"
"hsa-miR-21-3p","C13orf36"
"hsa-miR-708-3p","BCL11B"
"hsa-miR-130b-5p","EEFSEC"
"hsa-miR-1301","CBX2"
"hsa-miR-181a-3p","ARHGEF16"
"hsa-miR-181c-5p","PALM2-AKAP2,ESCO2,AURKA,PTPRB,FLAD1,CAV1,SYNE1,CCNB2,PLK1,MAD2L1,FANCI,KIF22,OIP5,UBE2T,RCCD1,TNS1,NCAPH,PRC1"
"hsa-miR-409-3p","HOXD12"
"hsa-miR-486-5p","GPX3,S1PR1"
"hsa-miR-205-5p","PAK6"
"hsa-miR-106a-5p","PAX6"
"hsa-miR-497-5p","OTUB1"
"hsa-miR-195-5p","AURKA,FIGF,GDF10,ATOH8,GRK5,SKA3,GRAMD2,CDC20,CAV1,CCNB2,PLK1,PTPN21,INMT,GCOM1,FHL1,ARRB1,UBE2T,KANK2,CCDC48,FAM105A,LIMCH1,POLQ,NCAPH,MYBL2"
"hsa-miR-1271-5p","UGT8"
"hsa-miR-338-3p","ESCO2,GINS2,KBTBD10,SPOCK2,CLIC5,GPR133,SUSD2,LMO7,CAV1,RAB11FIP1,PARD6B,ORC6L,CLDN18,DENND3,DLC1,C11orf9,TIMELESS,BLM,EMP2,LIMCH1,TNS1"
"hsa-miR-30d-3p","C20orf56,WWC2,SLC1A1,GRAMD2,LMO7,CDC20,ST6GALNAC5,PTPN21,LIMD1,RTKN2,ARRB1,C11orf9,EPB41L5,LIMCH1"
"hsa-miR-148b-3p","EXOSC10"
"hsa-miR-181c-3p","ZNF883"
"hsa-miR-99b-3p","SIX2"
"hsa-miR-203a","ZNF750"
"hsa-miR-30a-3p","CDC45,ESCO2,GINS2,CD55,AURKA,PKMYT1,SPOCK2,BIRC5,ESPL1,TCF21,MCM8,KIF23,GRK5,GGTLC1,TIMP3,TDRD10,SKA3,MCM10,CDCA2,BUB1B,EPAS1,FOLR1,AGER,UBE2C,GRAMD2,CDC6,CCDC85A,LMO7,C13orf15,CDC20,CAV1,CA4,CCNB2,PLK1,ERCC6L,TK1,VIPR1,RFC2,CENPI,CDK1,KIF4A,FXYD1,TTK,EPR1,KANK3,EDNRB,PTPN21,RAB11FIP1,MAD2L1,KIF2C,RNASE4,E2F8,ORC6L,CNTN6,KIF20A,CFL2,TMEM100,SELENBP1,H2AFX,DENND3,FANCI,EXO1,MYO19,FHL1,DLGAP5,C6orf174,HDAC1,TENC1,ZWILCH,OIP5,ADRB2,GMPS,UBE2T,KIF14,CHEK1,BUB1,CENPA,FAM105A,C17orf53,RAD51,TIMELESS,BLM,LIMCH1,UNG,NCAPG2,POLQ,SDPR,NCAPH,CDCA3,MYBL2,SPC24,RAMP2,XRCC2,KIF11,CENPE,PRC1,ARHGAP11A,C12orf48,HJURP"
"hsa-miR-652-3p","C1orf170"
"hsa-miR-34c-5p","DCDC2B,STOML3,C20orf85,C22orf15,TXNDC6,FAM81B,WDR38,TEKT1,C9orf135,C5orf49,RSPH9,TTC29"
"hsa-miR-200b-5p","ALAS2"
"hsa-miR-126-3p","LOC389033"
"hsa-miR-30a-5p","PALM2-AKAP2,CDC45,ESCO2,GINS2,CD55,AURKA,CLEC3B,PKMYT1,BIRC5,ESPL1,TCF21,MCM8,KIF23,GRK5,TDRD10,SKA3,MCM10,CDCA2,BUB1B,FOLR1,AGER,SPTBN2,UBE2C,GRAMD2,CDC6,CCDC85A,LMO7,C13orf15,CDC20,CA4,CCNB2,PLK1,ERCC6L,TK1,RFC2,CENPI,CDK1,KIF4A,FXYD1,RAD54B,TTK,EPR1,KANK3,PTPN21,RAB11FIP1,MAD2L1,KIF2C,ORC6L,KIF20A,CLDN18,SELENBP1,H2AFX,FANCI,EXO1,MYO19,FHL1,DLGAP5,HDAC1,TENC1,ZWILCH,OIP5,ADRB2,GMPS,UBE2T,KIF14,CHEK1,BUB1,ECT2,CENPA,FAM105A,C17orf53,RAD51,TIMELESS,BLM,LIMCH1,UNG,NCAPG2,POLQ,SDPR,ESAM,NCAPH,CDCA3,MYBL2,SPC24,RAMP2,XRCC2,SORBS1,KIF11,CENPE,PRC1,ARHGAP11A,C12orf48,HJURP"
