"ID","Up_regulated"
"hsa-miR-151a-5p","C11orf90"
"hsa-miR-140-3p","PALM2-AKAP2,TNNC1,CDC45,GINS2,AURKA,TMEM189,SCN7A,GPR112,FLT4,CLEC3B,PKMYT1,ABCA8,KDR,KHDRBS2,NLRC4,ESPL1,LPL,C14orf132,FIGF,TCF21,DKC1,PTPRB,C4orf31,MFSD2B,BRCA1,CFD,KIF15,GDF10,PEBP4,ATOH8,ANLN,LTC4S,HPRT1,SFTPA2,AFF3,FGFR4,KIF23,TSPAN12,GRK5,CDKL2,HECW2,ACADL,GGTLC1,RAD51AP1,GATA2,C10orf67,CKAP2,IHH,MCM4,F8,GATA1,LMOD3,DAPK2,TDRD10,SCUBE1,LAMP3,CLIC5,TBX4,MRPL3,GPM6A,C13orf30,VEPH1,FHL5,RSPO2,RP1,SKA3,TMTC3,FAM83H,LOC572558,H2AFZ,C1QTNF7,GLDN,SLC34A2,SFTA3,C20orf20,RETN,NRG3,SHE,GPR133,LOC134466,BUB1B,DUSP1,ANGPT4,WWC2,GIMAP8,EPAS1,SLC1A1,C19orf59,MYCT1,SIGLEC11,FOLR1,AGER,KCNA5,FLJ42875,FLAD1,HPGD,ANXA3,SFTPC,SPTBN1,SPTBN2,GRAMD2,SUSD2,CCDC85A,OTUD1,LMO7,VSIG4,ADAM29,C13orf15,KLF2,KIAA0408,ACOXL,EXOC3L,GPBAR1,GNA14,AKAP2,SULT1A2,CDO1,CASKIN2,ALDH3B1,SLC9A3R2,HMGA1,UHRF1,IMMT,LTA4H,UBE2S,CSRNP1,RXFP2,AK1,CAV1,SLFNL1,NLRP12,FGD5,MS4A15,CA4,ADAMTSL4,NUSAP1,ACVRL1,CALCRL,RNASE1,KLB,NXPH3,MSH6,CHAF1A,SYNE1,SEMA3G,OLR1,GPD1,ANGPTL5,SPAG5,KIAA1524,MARCO,MYBPHL,B3GNT7,F11,COL4A3,IYD,SHROOM4,CYP4B1,ABI3BP,KCMF1,IQSEC3,ERCC6L,TK1,VIPR1,FRMD3,CENPI,MS4A7,SH2D3C,KIF4A,FXYD1,CENPF,NPR1,TTK,MSR1,ACTN2,EPR1,C16orf75,KANK3,GPR120,NFKBIL2,PRKCE,CHRDL1,USHBP1,MAP1LC3C,ANGPTL1,KIAA1377,UPK3B,EDNRB,STARD8,CASS4,HNF1B,PHACTR2,PTPN21,SIRPD,TMED6,PRAM1,CCNF,ITGA10,HOXA5,PYGM,SFTA1P,KIAA1462,SNX30,TFAP4,GPR146,CFP,C16orf59,RNASE4,SVEP1,PARD6B,ASPA,CPAMD8,AQP4,CNTN6,GPD1L,FOXF1,PLEKHH2,CFL2,CLDN18,TMEM100,SNRPA1,TROAP,FAM189B,JPH4,AVPR2,CSE1L,MAGI3,BEND2,CYP2B7P1,AGBL1,GTSE1,LDB2,KL,SELENBP1,DPEP2,ERG,SLC6A4,H2AFX,PRX,GSTM5,RS1,DENND3,SLC24A4,LOC723809,CENPO,KIF7,CLEC14A,TXNIP,AATK,MCM2,FANCI,INMT,PGM5,GCOM1,EXO1,LEPR,LIMD1,CDH5,FHL1,CTNND2,GAPDH,CD5L,ALOX5,GPR116,RTKN2,RASL12,SOX17,C6orf174,ITLN2,KIF18B,HDAC1,ARRB1,ABCA9,COL6A6,FAM189A2,ZWILCH,KIAA0087,OIP5,ARHGEF15,APOB48R,SLC39A8,AURKB,SSTR1,SLC19A3,FMO2,SPN,ADRB2,FANCE,GMPS,NR0B2,RCC1,AOC3,MRC1,GPRC5A,KIF14,GRIA1,TPSAB1,GPA33,BUB1,SKA1,BTNL9,LRRN4,LRRN3,DISP1,SLIT2,ASF1B,C19orf69,MRS2P2,NCKAP5,C1orf130,CACNA2D2,SLC16A12,DLC1,EMCN,FAM107A,CENPA,CYBRD1,C19orf48,CCDC48,NEGR1,LOC100128191,RFC5,TEK,C11orf9,RFC3,C2orf77,FCN3,FAM105A,C17orf53,LRP2BP,CAV3,RAD51,FBP1,TIMELESS,SLC46A2,TMEM88,C1orf198,EMP2,RAMP3,TMEM177,EPB41L5,SH3GL2,SLIT3,TFB2M,LIMCH1,UNG,TNS1,LRRC36,POLQ,MYOCD,CD302,C7orf11,SDPR,MKI67,ESAM,TRPC2,RXFP1,FAM13C,PNPLA6,NCAPH,ADCY4,RAMP2,XRCC2,PRCC,C16orf89,CENPE,NMUR1,ADH1A,CD101,OVCH2,ABCA6,ADH1B,NOVA2,TMEM125,PRC1,ARHGAP11A,WFS1,SMC2,HJURP,ROBO4,DRAM1"
"hsa-miR-181a-5p","PALM2-AKAP2,CDC45,AURKA,SCN7A,PKMYT1,KHDRBS2,ESPL1,C14orf132,FIGF,TCF21,DKC1,C4orf31,GDF10,ATOH8,ANLN,KIF23,TSPAN12,GRK5,GATA2,MCM4,DAPK2,TDRD10,CLIC5,MRPL3,GPM6A,FHL5,SKA3,C1QTNF7,C20orf20,SHE,BUB1B,WWC2,GIMAP8,EPAS1,SLC1A1,MYCT1,AGER,FLAD1,HPGD,ANXA3,SPTBN1,SPTBN2,GRAMD2,CCDC85A,OTUD1,LMO7,CDO1,PDE1C,ALDH3B1,SLC9A3R2,HMGA1,UHRF1,UBE2S,AK1,CAV1,SLFNL1,MS4A15,CA4,NUSAP1,ACVRL1,CALCRL,SPAG5,COL4A3,ERCC6L,TK1,VIPR1,FRMD3,CENPI,KIF4A,CENPF,TTK,EPR1,KANK3,NFKBIL2,PRKCE,USHBP1,EDNRB,PHACTR2,PTPN21,CCNF,KIAA1462,C16orf59,RNASE4,AQP4,CNTN6,GPD1L,FOXF1,PLEKHH2,CFL2,CLDN18,TMEM100,SNRPA1,TROAP,C20orf202,MAGI3,BEND2,GTSE1,LDB2,KL,SELENBP1,ERG,RS1,CLEC14A,TXNIP,AATK,MCM2,FANCI,INMT,GCOM1,EXO1,LIMD1,CDH5,FHL1,CTNND2,GAPDH,RTKN2,RASL12,C6orf174,ITLN2,KIF18B,ARRB1,C13orf36,SYT15,ZWILCH,KIAA0087,CASP12,OIP5,ARHGEF15,SLC39A8,SSTR1,SLC19A3,FMO2,ADRB2,RCC1,KIF14,BUB1,SKA1,LRRN3,DISP1,SLIT2,ASF1B,NCKAP5,EMCN,CENPA,CYBRD1,C19orf48,CCDC48,TEK,C11orf9,FAM105A,C17orf53,RAD51,TIMELESS,C1orf198,RAMP3,TMEM177,EPB41L5,SH3GL2,RXRG,LIMCH1,TNS1,LRRC36,POLQ,CD302,MKI67,ESAM,RXFP1,NCAPH,RAMP2,CENPE,MAP3K15,NMUR1,OVCH2,ADH1B,PRC1,ARHGAP11A,WFS1,HJURP"
"hsa-miR-27a-3p","KRT17"
"hsa-miR-200a-5p","SLC10A2"
"hsa-miR-30d-3p","KARS,SNRPA1"
"hsa-miR-181a-3p","NLRC4,ANLN,KIF23,MCM4,ANGPT4,C19orf59,SIGLEC11,VSIG4,HMGA1,UHRF1,LTA4H,RXFP2,GPD1,FLJ37543,GPR120,PRAM1,TMEM100,DPEP2,SLC24A4,TXNIP,CD5L,ALOX5,ITLN2,AGRP,SPN,RCC1,MRC1,GPA33,RAD51,FBP1,PNPLA6"
"hsa-miR-93-3p","PKMYT1,KHDRBS2,ESPL1,DKC1,ANLN,KIF23,MCM4,SKA3,SFTA3,BUB1B,FOLR1,AGER,FLJ42875,GRAMD2,SLC9A3R2,HMGA1,UHRF1,AK1,NUSAP1,SPAG5,CYP4B1,CENPI,KIF4A,CENPF,TTK,KANK3,FANCI,EXO1,C6orf174,KIF18B,KIF14,SKA1,CCDC48,RAD51,TIMELESS,POLQ,MKI67,NCAPH,CENPE,PRC1,ARHGAP11A"
"hsa-let-7b-3p","BHMT"
"hsa-miR-452-5p","CDX2"
"hsa-miR-26a-5p","PTPRB,BTNL8,TROAP,GTSE1,PRX,KIF18B,OIP5,ASF1B,FAM107A,CENPA,TEK"
"hsa-miR-451a","HBA2,HBB"
