00010	pp	00030	pp	0,224605
00010	pp	00051	pp	0,255214
00010	pp	00052	pp	0,284350
00010	pp	00071	pp	0,210120
00010	pp	00340	pp	0,195997
00010	pp	00350	pp	0,210408
00010	pp	00410	pp	0,178611
00010	pp	00500	pp	0,171512
00010	pp	00620	pp	0,388066
00010	pp	00982	pp	0,154672
00010	pp	04066	pp	0,166639
00010	pp	04922	pp	0,227607
00010	pp	05230	pp	0,231321
00020	pp	00620	pp	0,310849
00020	pp	00630	pp	0,178553
00030	pp	00051	pp	0,254721
00030	pp	00052	pp	0,165914
00040	pp	00053	pp	0,728946
00040	pp	00140	pp	0,404784
00040	pp	00500	pp	0,496794
00040	pp	00830	pp	0,375821
00040	pp	00860	pp	0,510060
00040	pp	00980	pp	0,359123
00040	pp	00982	pp	0,361011
00040	pp	00983	pp	0,484780
00040	pp	05204	pp	0,319860
00051	pp	00052	pp	0,282432
00051	pp	00520	pp	0,317104
00051	pp	00524	pp	0,209523
00051	pp	05230	pp	0,154566
00052	pp	00500	pp	0,345115
00052	pp	00520	pp	0,278175
00052	pp	00524	pp	0,284826
00052	pp	04973	pp	0,262809
00052	pp	05230	pp	0,159886
00053	pp	00140	pp	0,449447
00053	pp	00340	pp	0,197102
00053	pp	00410	pp	0,168930
00053	pp	00500	pp	0,479170
00053	pp	00830	pp	0,414349
00053	pp	00860	pp	0,548566
00053	pp	00980	pp	0,372630
00053	pp	00982	pp	0,396613
00053	pp	00983	pp	0,518164
00053	pp	05204	pp	0,348010
00061	pp	00071	pp	0,243406
00061	pp	03320	pp	0,168087
00061	pp	04920	pp	0,190194
00062	pp	01040	pp	0,543997
00071	pp	00280	pp	0,369459
00071	pp	00310	pp	0,244768
00071	pp	00350	pp	0,172525
00071	pp	00380	pp	0,281336
00071	pp	00410	pp	0,235958
00071	pp	00620	pp	0,161558
00071	pp	00640	pp	0,162500
00071	pp	00650	pp	0,193261
00071	pp	03320	pp	0,295383
00071	pp	04146	pp	0,151667
00071	pp	04920	pp	0,168912
00072	pp	00280	pp	0,278973
00072	pp	00650	pp	0,539568
00072	pp	00900	pp	0,256595
00140	pp	00500	pp	0,330787
00140	pp	00830	pp	0,408035
00140	pp	00860	pp	0,379477
00140	pp	00980	pp	0,437486
00140	pp	00982	pp	0,362252
00140	pp	00983	pp	0,383789
00140	pp	04913	pp	0,197421
00140	pp	05204	pp	0,399962
00190	pp	04260	pp	0,283602
00190	pp	04721	pp	0,225063
00190	pp	04932	pp	0,518267
