"ID","Up_regulated"
"hsa-miR-200b-3p","PALM2-AKAP2,CPA1,RNF150,SHANK3,CXorf36,ALDH1L1,NPR2,CD34,GYPC,LRRN4CL,AFAP1L1,C14orf139,LOC401052,LOC257358,ANTXR2,GHR,CELF2,ABCA8,LOC90586,ELTD1,LPL,PRKAR2B,CD36,AHNAK,PTPRB,DTX1,PFKFB3,MGST1,ATOH8,C7orf41,LGALS12,ANO6,AKR1C3,DMGDH,NKAPL,AMOTL2,MEST,LAMA4,GBE1,CAT,CYB5R3,FZD4,MESTIT1,ACACB,C16orf53,ACADL,ADIPOQ,ECM2,TK2,C2CD2,F8,RBP4,AKR1C1,FABP4,NRN1,HADH,GNAI1,EIF4EBP2,PNPLA2,AQPEP,CD99L2,SYNPO,BOK,EPB42,WASF3,SH3GLB1,ST6GALNAC6,GPR109A,SLC16A7,ITSN1,MAP7D3,LOC572558,ELMOD3,KCNIP2,GLDN,CCDC3,PDE1B,TMEM195,CDC14B,AKAP12,LGI4,EPB41L2,MMRN2,DAAM2,CAMK1,TTC7B,SHE,TGFBR2,TACC1,ITIH5,TSPAN3,LOC283392,C17orf103,GPIHBP1,CIDEC,EPAS1,RBMS3,MYCT1,MOCS1,TRIM59,PTPRM,SPTBN1,VEGFB,GPR34,ACSS2,VKORC1L1,MOSC1,MDH1,STX11,NDN,TYRO3,FAM149A,KIAA0408,GPBAR1,PDE11A,ACSL1,NIPSNAP3B,EMX2OS,SRPX,PHLDB1,CEBPA,CDO1,KIAA0427,BMPER,DGAT2,ANGPT1,TRHDE,RBPMS2,PREX2,GABARAPL1,TFE3,CAV1,AKR1C2,MGLL,MLXIPL,TMC2,FRMD1,ABCD2,C3orf55,CA4,YWHAG,NAT8L,LEP,CYP26B1,NEK7,KLB,PTPRQ,KANK1,SEMA3G,RFTN1,GPD1,PLIN4,HRASLS5,SLCO1C1,C4orf12,PTRF,DDR2,MMD,C1QTNF1,PID1,LRP1,FOXN3,MCAM,CCDC69,IQSEC3,PPAP2A,ANKRD53,LOC642597,H2AFY,GYG2,MRAS,FAM89A,GPLD1,LIPE,ITGA7,AQP7P1,SPATA9,NPR1,TMEM37,TMEM140,CAV2,MAPK10,GPR120,C14orf180,CHRDL1,BMX,FERMT2,FADS3,MAP1LC3C,LHFP,EDNRB,AQP7,MYO1C,ITGB1BP1,FAM13A,TBX15,AVPR1A,CDH20,VIM,UGP2,GPR146,SVEP1,CRTAP,NOTCH4,ASPA,FBLN5,KCNB1,C2orf84,TMEM132C,ACSM5,AGPAT2,CES1,SLC7A10,ABCA1,CDC14C,LDB2,CORO2B,PLA2G16,AIFM2,C7orf58,FGF2,SLC22A3,LOC339524,FOXP2,HEPACAM,TXNIP,AGAP11,SERPINF1,CPM,GIPC2,PCSK5,FREM1,INMT,GCOM1,HEPN1,NMT2,TUSC5,CDH5,ANGPTL2,DHDDS,TMEM170B,GNG11,SH3D19,PPARG,PTPRS,PFKFB1,GPR116,PEX19,PPP1R1A,STBD1,BHMT2,TENC1,VAMP3,SOD3,EHD2,NMB,CCDC75,ARHGEF15,VWF,MAOA,TAL1,SLC19A3,PCOLCE2,RTN4,ALDH1A1,DOCK11,APBB1IP,MDFIC,ADRB2,AOC3,AQP7P3,GSN,G0S2,PCK1,PLXNA4,BTNL9,PLSCR4,CCT3,MRAP,LOC158376,GNG2,EBF2,C14orf49,KANK2,GPX3,SGK2,PKDCC,GLYAT,FAM107A,TMBIM1,TMEM22,PDE2A,ACAA2,PCYOX1,PDZD2,TEAD1,TEK,SLC9A9,PLIN1,PDP2,CCDC36,SIK2,RBP7,TIMP4,ACO1,TLN2,EBF3,CIDEA,RETSAT,PALM,SLIT3,ACAD11,RDH5,GPAM,COL25A1,EHBP1,ADRA1A,TNS1,DCUN1D3"
"hsa-miR-144-5p","HBA2"
"hsa-miR-130b-5p","FAM64A"
"hsa-miR-139-5p","PALM2-AKAP2,FAM162B,SHANK3,CXorf36,NPR2,CD34,GYPC,LRRN4CL,AFAP1L1,C14orf139,ANTXR2,ABCA8,C18orf34,SCARA5,ELTD1,CCL14,PRKAR2B,FIGF,CD36,PTPRB,DTX1,XPNPEP2,ATOH8,ANO6,DMGDH,NKAPL,AMOTL2,LAMA4,CAT,CYB5R3,FZD4,MESTIT1,PM20D1,ECM2,TK2,C2CD2,F8,NRN1,GNAI1,ST6GALNAC6,ITSN1,MAP7D3,LOC572558,ELMOD3,CDC14B,AKAP12,LGI4,EPB41L2,MMRN2,DAAM2,SHE,TGFBR2,TACC1,ITIH5,LOC283392,IGSF10,C17orf103,C1QTNF9,CIDEC,EPAS1,RBMS3,MYCT1,MOCS1,PTPRM,SPTBN1,TEF,GPR34,VKORC1L1,TYRO3,FAM149A,EMX2OS,SRPX,CEBPA,CDO1,TRHDE,PREX2,GABARAPL1,TFE3,CAV1,TMC2,FRMD1,C3orf55,CA4,ADAMTSL4,NAT8L,KANK1,SEMA3G,GPD1,PTRF,DDR2,MMD,PID1,FOXN3,MCAM,IQSEC3,PPAP2A,PKD1L2,GYG2,MRAS,FAM89A,LIPE,ITGA7,NPR1,CNRIP1,TMEM37,TMEM140,BMX,FERMT2,LHFP,AQP7,ITGB1BP1,GPR146,SVEP1,CRTAP,NOTCH4,ASPA,FBLN5,C2orf84,ACSM5,SLC7A10,ABCA1,CDC14C,LDB2,CORO2B,MEOX1,HEPACAM,TXNIP,GIPC2,PCSK5,INMT,PGM5,TUSC5,CDH5,ANGPTL2,DHDDS,GNG11,SH3D19,PPARG,GPR116,ABCA9,TENC1,VAMP3,SOD3,EHD2,CCDC75,ARHGEF15,VWF,TAL1,ALDH1A1,DOCK11,ADRB2,AOC3,AQP7P3,GSN,G0S2,BTNL9,PLSCR4,LOC158376,C14orf49,KANK2,GPX3,GLYAT,FAM107A,TMBIM1,TMEM22,PDE2A,PDZD2,TEK,SLC9A9,PLIN1,CCDC36,SIK2,RBP7,TIMP4,ACO1,TLN2,EBF3,RETSAT,SLIT3,RDH5,COL25A1,GALNTL2,TNS1"
"hsa-miR-141-5p","PALM2-AKAP2,CPA1,SHANK3,NPR2,GYPC,AFAP1L1,C14orf139,C5orf62,LOC401052,ANTXR2,GHR,CELF2,ABCA8,DKFZp779M0652,LOC90586,LPL,PRKAR2B,CD36,DTX1,CFD,PFKFB3,ATOH8,C7orf41,ANO6,AKR1C3,DMGDH,NKAPL,MEST,LAMA4,GBE1,CAT,CYB5R3,FZD4,MESTIT1,ACACB,ADIPOQ,ECM2,TK2,C2CD2,RBP4,AKR1C1,FABP4,NRN1,GNAI1,PNPLA2,AQPEP,CD99L2,BOK,EPB42,WASF3,SH3GLB1,ST6GALNAC6,GPR109A,ITSN1,MAP7D3,ELMOD3,KCNIP2,CCDC3,PDE1B,AKAP12,LGI4,EPB41L2,DAAM2,CAMK1,TTC7B,ITIH5,TSPAN3,C17orf103,ANXA5,GPIHBP1,CIDEC,EPAS1,PTPRM,SPTBN1,VEGFB,GPR34,ACSS2,VKORC1L1,MOSC1,STX11,TNIP1,NDN,TYRO3,FAM149A,KIAA0408,GPBAR1,PDE11A,ACSL1,PHLDB1,CEBPA,CDO1,KIAA0427,BMPER,ANGPT1,TRHDE,RBPMS2,GABARAPL1,TFE3,CAV1,AKR1C2,MGLL,MLXIPL,FRMD1,C3orf55,CA4,NAT8L,LEP,CYP26B1,KLB,KANK1,SEMA3G,RFTN1,GPD1,PLIN4,HRASLS5,PTRF,DDR2,FBLN2,MMD,C1QTNF1,PID1,LRP1,FOXN3,EEPD1,MCAM,CCDC69,PPAP2A,GYG2,MRAS,FAM89A,LIPE,ITGA7,SPATA9,NPR1,TMEM37,TMEM140,CAV2,MAPK10,C14orf180,CHRDL1,FERMT2,FADS3,THRSP,AQP7,MYO1C,ITGB1BP1,VIM,UGP2,GPR146,SVEP1,CRTAP,FBLN5,C2orf84,TMEM132C,ACSM5,AGPAT2,CES1,SLC7A10,ABCA1,CORO2B,PLA2G16,AIFM2,C7orf58,LOC339524,HEPACAM,SERPINF1,CPM,PCSK5,FREM1,GCOM1,HEPN1,NMT2,TUSC5,CDH5,ANGPTL2,DHDDS,GNG11,SH3D19,PPARG,PTPRS,PFKFB1,PPP1R1A,STBD1,BHMT2,TENC1,SOD3,EHD2,NMB,ARHGEF15,MAOA,PCOLCE2,RTN4,DOCK11,APBB1IP,MDFIC,AOC3,G0S2,PLXNA4,MRAP,LOC158376,GNG2,C14orf49,KANK2,GPX3,SGK2,GLYAT,TMBIM1,TMEM22,PDE2A,ACAA2,PDZD2,TEAD1,TEK,PLIN1,SIK2,TIMP4,ACO1,TLN2,EBF3,CIDEA,RETSAT,PALM,C10orf10,ACAD11,RDH5,GPAM,EHBP1,ADRA1A,TNS1"
"hsa-let-7c","CX3CL1,CLDN8"
"hsa-miR-151a-3p","MYBL1"
"hsa-miR-22-3p","KCNE3,PLIN4"
"hsa-miR-375","BMPR1B"
"hsa-miR-365a-3p","PALM2-AKAP2,CPA1,FAM162B,SHANK3,CXorf36,NPR2,CD34,GYPC,LRRN4CL,AFAP1L1,C14orf139,LOC401052,ANTXR2,GHR,C18orf34,DKFZp779M0652,LOC90586,ELTD1,LPL,PRKAR2B,CD36,DTX1,ATOH8,C7orf41,ANO6,AKR1C3,DMGDH,NKAPL,AMOTL2,MEST,LAMA4,GBE1,CAT,CYB5R3,FZD4,ACACB,ADIPOQ,ECM2,TK2,C2CD2,F8,RBP4,AKR1C1,FABP4,NRN1,GNAI1,PNPLA2,AQPEP,RHOXF1,CD99L2,BOK,EPB42,WASF3,SH3GLB1,ST6GALNAC6,GPR109A,MAP7D3,LOC572558,ELMOD3,KCNIP2,GLDN,CCDC3,CDC14B,AKAP12,LGI4,EPB41L2,MMRN2,DAAM2,CAMK1,TTC7B,SHE,TGFBR2,ITIH5,TSPAN3,C17orf103,GPIHBP1,CIDEC,EPAS1,MYCT1,TRIM59,PTPRM,SPTBN1,VEGFB,ACSS2,VKORC1L1,MOSC1,STX11,TNIP1,NDN,TYRO3,FAM149A,GPBAR1,PDE11A,ACSL1,SRPX,PHLDB1,CEBPA,CDO1,KIAA0427,BMPER,DGAT2,ANGPT1,RBPMS2,PREX2,GABARAPL1,TFE3,CAV1,AKR1C2,MGLL,MLXIPL,FRMD1,ABCD2,C3orf55,CA4,YWHAG,NAT8L,LEP,KLB,SEMA3G,RFTN1,GPD1,PLIN4,HRASLS5,PTRF,DDR2,MMD,CABP1,PID1,LRP1,FOXN3,MCAM,CCDC69,IQSEC3,PPAP2A,GYG2,MRAS,FAM89A,LIPE,ITGA7,AQP7P1,NPR1,TMEM37,TMEM140,CAV2,MAPK10,C14orf180,CHRDL1,FERMT2,FADS3,LHFP,THRSP,AQP7,MYO1C,ITGB1BP1,FAM13A,VIM,GPR146,SVEP1,CRTAP,NOTCH4,KIF25,FBLN5,C2orf84,TMEM132C,ACSM5,AGPAT2,CES1,SLC7A10,ABCA1,LDB2,CORO2B,PYGL,PLA2G16,AIFM2,MEOX1,C7orf58,LOC339524,HEPACAM,TXNIP,SERPINF1,CPM,GCOM1,HEPN1,TUSC5,CDH5,ANGPTL2,DHDDS,GNG11,SH3D19,PPARG,PTPRS,PFKFB1,GPR116,PPP1R1A,STBD1,BHMT2,TENC1,VAMP3,SOD3,EHD2,NMB,CCDC75,ARHGEF15,VWF,HIF3A,MAOA,TAL1,SLC19A3,PCOLCE2,ADRB2,AOC3,GSN,G0S2,PLXNA4,BTNL9,MRAP,LOC158376,EBF2,C14orf49,GPX3,SGK2,GLYAT,FAM107A,TMBIM1,TMEM22,PDE2A,ACAA2,PDZD2,TEK,PLIN1,CCDC36,SIK2,RBP7,TIMP4,ACO1,TLN2,EBF3,CIDEA,RETSAT,PALM,SLIT3,C10orf10,ACAD11,RDH5,COL25A1,EHBP1,TNS1"
