"ID","Up_regulated"
"hsa-miR-455-3p","TUBAL3,DDN,KHDRBS2,ALDOB,CIRH1A,CTXN3,CLIC5,TNNI1,FGF1,SFXN2,FABP1,CRHBP,C18orf56,TYRO3,TRIM54,MYOM2,CRYBB3,SLC22A18AS,GPD1,SPAG5,KLK7,TTPA,PBLD,C1orf125,CYP2B6,C3orf30,LOC285768,HPD,CRYAA,LRRC7,LOC148709,HMX2,UPP2,KLK5,C9orf66,ZNF804B,CCDC150,PTPRO,SOST,TTC38,ST6GALNAC3"
"hsa-miR-141-3p","KLK15"
"hsa-miR-130a-3p","RIPPLY1"
"hsa-miR-1180","GADL1,WNK4,SIM2,F11,FIGNL2,PRKCQ"
"hsa-miR-24-3p","LOC286002"
"hsa-miR-107","CSNK2A1P"
"hsa-miR-96-5p","ALPI,USH1G,GCM1"
"hsa-miR-30c-2-3p","ASRGL1,SCNN1G,IGFBP2,C21orf62,SOSTDC1,C2orf62,TMEM178"
"hsa-miR-505-5p","CLDN2,SLC22A4,KCNK5,THPO,PDZK1IP1,ANXA13,NRXN2,LRP2,RGL1,TMEM132E,TMEM200A,ACSM2A"
"hsa-miR-628-5p","PADI2,SLC4A8,MFSD4"
"hsa-miR-125b-5p","NKX6-1"
"hsa-miR-222-5p","ART5"
"hsa-miR-221-3p","SENP5"
"hsa-miR-222-3p","KIF12,CADM1,PROM1,SCNN1G,IGFBP2,MAPK15,C21orf62,WDR78,PPP1R1A,FIGNL2,FOXC1,C10orf79"
"hsa-miR-29b-2-5p","CPA1,TUBAL3,DDN,USH1C,ALDOB,CTXN3,CLIC5,TNNI1,FGF1,SFXN2,FABP1,CRHBP,C18orf56,EHD3,TYRO3,TRIM54,MYOM2,FRMD1,CRYBB3,SLC22A18AS,GPD1,KLK7,TTPA,PBLD,C1orf125,CYP2B6,LOC285768,HPD,CRYAA,LRRC7,LOC148709,HMX2,UPP2,MYLK4,KLK5,C9orf66,ZNF804B,PTPRO,SOST,TTC38,ST6GALNAC3"
"hsa-miR-28-5p","ASTN2"
"hsa-miR-183-5p","RALYL,TPPP3,MYOZ1,LRRC48,PTGDS,LOC723809"
"hsa-miR-99b-5p","C14orf72"
"hsa-miR-708-3p","BPI"
"hsa-miR-326","FGF18"
"hsa-miR-30b-3p","DHCR7"
"hsa-miR-497-5p","CCL14-CCL15,HNF1A,VIL1,GLYCTK,BBOX1,TUBAL3,ALDH4A1,GYPA,BAIAP2L2,KHDRBS2,GSTA1,NPC1L1,SLC47A2,USH1C,AK3L1,DMGDH,C11orf90,GDPD3,DAB2,ALDOB,FGFR4,GATM,CIDEB,ABCC6P2,TFEC,FAM132A,CIRH1A,CTXN3,MT1F,DEPDC7,FUT6,ACSBG2,KHK,RNF186,CAPN3,TNNI1,SFXN2,ART4,LOC144776,PKLR,SLC2A9,SPNS3,ACY3,SLC6A13,NYX,DNAJC16,FABP1,CLDN2,RNF183,C18orf56,BHMT,DNAJC12,SLC22A4,MYOM3,C8orf80,CYP8B1,SHMT1,MTMR11,PHYHIP,HAO2,ABCC6P1,MYOM2,HHLA2,CRYBB3,SLC22A18AS,KCNK5,THPO,GLB1L,PDZK1IP1,AKR1A1,RBP5,PROS1,GPD1,ABHD12B,AOX1,RAB7L1,AGXT2,AGMAT,TACR3,PBLD,OR2T10,ANXA13,GLYATL1,C19orf21,LOC389332,LRRC48,ASPDH,NRXN2,CYP2B6,C1orf106,PROC,LOC285768,LRP2,EHHADH,SLC17A4,FMO1,PTGDS,RGL1,A1CF,GIPC2,TRIM15,HPD,BST1,ALDH6A1,CRYAA,GBA3,LRRC7,LOC148709,HMX2,LOC647309,ACSF2,FCAMR,BHMT2,PDZD3,TRIM10,PDZK1,DDC,AQP7P3,TTBK1,ANPEP,KCNK10,C14orf73,CCL15,TMEM132E,PIPOX,CDKN1C,ALAD,TMEM200A,ENPEP,C19orf69,AMDHD1,KLK5,C9orf66,GLYAT,MSRA,ACSM2A,ETNK2,PC,ANKS4B,C1orf186,ACMSD,PPP1R16B,HNF4A,NGEF,CFI,ZNF804B,CDHR2,RXFP1,ABAT,C6orf208,LOC283314,TTC38,PNPLA1,PEPD,C7orf10"
"hsa-miR-30e-5p","ARMC3,TSPAN1"
"hsa-miR-100-5p","E2F8"
"hsa-miR-181c-3p","C1orf77"
"hsa-miR-675-3p","CNNM1,AKR1B1,SCARA3,KLRG2,SCCPDH,SLC14A2,PP14571,ELF5,VGLL1,BCAS1,B3GNT3,FER1L5,RASAL1,RAET1G"
"hsa-miR-3065-3p","TPPP3,TSPAN2"
"hsa-miR-143-5p","KCNV1"
"hsa-miR-145-3p","TCF21,ITGA8,NLGN3,NKD1,NRGN"
"hsa-miR-217","LYG1"
"hsa-miR-192-5p","CCL14-CCL15,CPA1,VIL1,GLYCTK,BBOX1,ALDH4A1,BAIAP2L2,DDN,ABCC6P2,TFEC,RAET1E,FAM132A,CTXN3,CLIC5,CAPN3,XYLB,TRIM6,TNNI1,OR2G6,ACY3,MOGAT2,DNAJC16,CRHBP,RALYL,MTMR11,TPPP3,HAO2,ABCC6P1,MYOM2,FRMD1,ENOX1,KIRREL2,RBP5,KLK7,MYOZ1,ASB10,AGMAT,KANK4,PBLD,LRRC48,ASPDH,NRXN2,FMO1,PTGDS,SGK494,RGL1,SLC12A3,A1CF,GIPC2,GBA3,MSTN,LRRC7,HMX2,BHMT2,PDZD3,TRIM10,UPP2,GPR44,TTBK1,CCL15,PIPOX,ALAD,C19orf69,AMDHD1,MSRA,VSIG8,TMEM200C,NFASC,ETNK2,ANKS4B,ZCCHC16,PPP1R16B,HNF4A,B3GALT2,ZNF804B,FAM26E,RXFP1,ABAT,PTPRO,C6orf208,LOC283314,SOST,PNPLA1,C7orf10,ST6GALNAC3"
"hsa-miR-671-5p","NUDCD3"
"hsa-miR-616-5p","SYT13"
"hsa-miR-29a-3p","PLCL2"
"hsa-miR-221-5p","MYOZ1,ARHGEF33,LOC723809"
"hsa-miR-10a-3p","CALM3"
"hsa-let-7e-3p","MIDN,C2orf77"
"hsa-miR-664a-5p","SRMS"
"hsa-miR-24-1-5p","GPHA2"
"hsa-miR-30d-3p","GARNL3"
"hsa-miR-185-5p","TYRP1"
"hsa-miR-1287","BAI3,GPM6B,NPY1R,CHRD,NPY5R,ADH1B"
"hsa-miR-766-3p","VPRBP,PIK3R4,WBP11"
"hsa-miR-203a","EDIL3,MLNR,AQP2,FAM154B,PFKFB3,LOC100302640,RXFP4,AFAP1L2,CADM1,GALNT6,CLDN15,KLRG2,EMID2,LOC400927,CLDN19,SEC14L4,CAPN14,SLCO1A2,SEMA4A,CNP,CNTD2,NIPAL3,CLDN10,C5orf38,SULT2B1,LGR5,AIF1L,SLC6A3,LOC729467,IRX1,TAS1R1,SUSD4,SOX30,WDR78,TMPRSS12,LEKR1,GDF3,WNT7B,DNAH17,RPRM,UNCX,FAM81B,FER1L5,MUC15,CPE,LOC158376,MRPS6,RAG2,C1orf65,C2orf65,VWA3B,RAET1G,IRX5,SERP2,TACSTD2"
"hsa-miR-181a-2-3p","RHCG"
"hsa-miR-103a-3p","FBXL17"
"hsa-miR-10b-5p","SCAMP1"
"hsa-miR-27b-5p","CTXN2,MGC27382,KIF12,FAM154B,RXFP4,AFAP1L2,CADM1,GALNT6,CLDN15,EMID2,LOC400927,CLDN19,SEC14L4,SLCO1A2,SEMA4A,CNP,NIPAL3,CLDN10,C5orf38,LGR5,AIF1L,TLR5,C9orf70,IRX1,AVPR2,TAS1R1,SUSD4,SOX30,WDR78,SLC4A8,MFSD4,TMPRSS12,LEKR1,GDF3,WNT7B,PPP1R1A,PRKX,RPRM,UNCX,IRX2,DOCK11,FER1L5,C21orf82,MUC15,CPE,LOC158376,MRPS6,C1orf65,VWA3B,CBLN2,RAET1G,IRX5,NTN4,C7orf51,SERP2,TACSTD2,C10orf79,IQCA1"
"hsa-miR-378c","CCL14-CCL15,VIL1,GLYCTK,BBOX1,ALDH4A1,BAIAP2L2,GSTA1,AK3L1,DMGDH,GDPD3,GATM,CIDEB,ABCC6P2,TFEC,FAM132A,DEPDC7,FUT6,KHK,RNF186,CAPN3,XYLB,PKLR,ACY3,SLC6A13,DNAJC16,BHMT,C8orf80,SHMT1,HAO2,ABCC6P1,AKR1A1,RBP5,AOX1,AGXT2,AGMAT,GLYATL1,GALM,ASPDH,EHHADH,FMO1,SGK494,SARDH,A1CF,GIPC2,ALDH6A1,GBA3,ACSF2,BHMT2,TRIM10,DDC,CCL15,PIPOX,ALAD,C19orf69,AMDHD1,GLYAT,MSRA,ETNK2,PC,ANKS4B,ACMSD,ADH6,ZCCHC16,HNF4A,ABAT,PEPD,C7orf10"
"hsa-miR-101-5p","ASB10,PTGDS,B3GALT2,FAM26E"
"hsa-miR-1976","PIK3R4,WBP11"
"hsa-miR-195-5p","TUBAL3,NPC1L1,SLC47A2,ALDOB,RGS9,CIRH1A,SFXN2,ART4,LOC144776,SLC2A9,SPNS3,FABP1,RNF183,C18orf56,DNAJC12,MYOM3,CYP8B1,MTMR11,KLK6,CRYBB3,SLC22A18AS,GPD1,KLK7,ABHD12B,ANXA13,C19orf21,LRRC48,NRXN2,CYP2B6,LOC285768,SLC17A4,PTGDS,RGL1,HPD,BST1,CRYAA,LOC148709,LOC647309,FCAMR,ANPEP,C14orf73,TMEM200A,ENPEP,KLK5,C9orf66,C1orf186,PPP1R16B,NGEF,FAM26E,RXFP1,SOST,TTC38,ST6GALNAC3"
"hsa-miR-1271-5p","AFAP1L2,GALNT6,EMID2,SEC14L4,CNP,MYT1,WNT7B,UNCX,C1orf65,IRX5,C7orf51"
"hsa-miR-3605-3p","DSG2"
"hsa-miR-182-5p","INPP5J"
"hsa-miR-132-3p","CLCA3P,GCNT3"
"hsa-miR-23b-3p","NPY1R,ADH1B"
"hsa-miR-29b-1-5p","MYRIP"
